,아이디,맥주,날짜,평점,Aroma,Appearance,Flavor,Mouthfeel,Overall
492,Belu_metal(73),Pilsner Urquell,"April 20, 2018",3.2,3,4,4,4,17
493,"thejackpacker(1,992)",Pilsner Urquell,"March 11, 2017",3.0,4,4,6,4,12
494,achtungpv(345),Pilsner Urquell,"March 10, 2017",2.6,5,3,6,2,10
495,"MasDen(1,348)",Pilsner Urquell,"March 9, 2017",3.0,5,4,6,5,10
496,Acaro(472),Pilsner Urquell,"July 10, 2017",3.0,4,4,7,3,12
500,Myonlyvice(675),Pilsner Urquell,"February 27, 2017",3.1,6,4,5,4,12
502,"Fred82(2,334)",Pilsner Urquell,"February 19, 2017",3.8,7,3,7,4,17
503,"ChadPolenz(1,847)",Pilsner Urquell,"February 16, 2017",4.7,10,4,9,5,19
505,"caketm(3,306)",Pilsner Urquell,"May 14, 2018",3.6,7,3,6,4,16
506,"izikk(1,055)",Pilsner Urquell,"February 14, 2017",2.9,5,3,6,3,12
508,geolgau(544),Pilsner Urquell,"February 28, 2017",3.2,6,4,6,4,12
509,MAGICuenca91(82),Pilsner Urquell,"February 12, 2017",2.7,5,3,5,3,11
510,vlada94(540),Pilsner Urquell,"February 10, 2017",3.5,5,5,8,3,14
511,"Juks(4,446)",Pilsner Urquell,"February 10, 2017",3.3,7,4,6,3,13
514,"jandorris(1,048)",Pilsner Urquell,"January 28, 2017",3.1,8,3,7,3,10
517,"bdleedahl(4,069)",Pilsner Urquell,"February 23, 2019",3.4,6,4,7,3,14
518,Pallleon(508),Pilsner Urquell,"January 25, 2017",3.6,7,4,8,4,13
519,"mkel07(8,991)",Pilsner Urquell,"January 25, 2017",3.1,6,3,6,3,13
522,"gyhallmanti(1,282)",Pilsner Urquell,"January 20, 2017",2.9,6,3,6,3,11
524,Jabic(983),Pilsner Urquell,"January 15, 2017",4.1,8,5,7,4,17
525,"60minuteman(1,764)",Pilsner Urquell,"January 11, 2017",3.0,5,3,5,4,13
532,jzi(314),Pilsner Urquell,"December 29, 2016",3.4,6,4,6,4,14
534,StoutBeerReviews(482),Pilsner Urquell,"December 13, 2016",3.4,8,5,5,4,12
537,"wheresthepath(2,963)",Pilsner Urquell,"December 9, 2016",1.9,4,2,3,3,7
539,radassace(814),Pilsner Urquell,"December 3, 2016",3.7,7,4,9,3,14
541,"anstei(3,816)",Pilsner Urquell,"December 2, 2016",3.2,6,3,7,3,13
549,Maits(839),Pilsner Urquell,"November 24, 2016",2.7,4,3,6,3,11
553,"PowY(3,318)",Pilsner Urquell,"November 13, 2016",2.9,6,3,7,3,10
555,"MatiF96(1,054)",Pilsner Urquell,"August 29, 2017",3.2,6,5,6,3,12
556,guil0000(433),Pilsner Urquell,"November 8, 2016",3.5,6,3,8,4,14
557,"Christpuncher(3,215)",Pilsner Urquell,"November 6, 2016",2.3,5,2,5,3,8
561,"ordybill(1,815)",Pilsner Urquell,"November 3, 2016",4.0,8,4,8,4,16
564,Graham77(579),Pilsner Urquell,"April 6, 2017",3.2,5,3,7,4,13
566,Drinking_77(308),Pilsner Urquell,"October 21, 2016",3.3,9,4,6,3,11
567,"BeardedAvenger(4,194)",Pilsner Urquell,"October 20, 2016",3.3,4,3,7,4,15
569,AntonyWilson(521),Pilsner Urquell,"October 18, 2016",3.9,6,5,8,4,16
570,Oiolosse(260),Pilsner Urquell,"October 11, 2016",3.1,5,4,5,3,14
571,"Lonick(2,706)",Pilsner Urquell,"October 7, 2016",2.6,6,3,5,2,10
572,"rhoihessegold(6,370)",Pilsner Urquell,"November 28, 2017",4.0,8,4,8,4,16
573,Bierdimpfe(640),Pilsner Urquell,"October 3, 2016",3.2,4,3,6,4,15
574,klukas(843),Pilsner Urquell,"October 2, 2016",3.1,6,3,6,4,12
580,"Skarecrow(1,734)",Pilsner Urquell,"September 18, 2016",2.3,3,4,4,2,10
581,GreenCat(514),Pilsner Urquell,"September 17, 2016",3.6,7,3,6,3,17
582,"Kauge(2,508)",Pilsner Urquell,"September 14, 2016",3.1,5,4,6,4,12
584,KoRoBeNiKi(157),Pilsner Urquell,"September 12, 2016",2.9,6,3,6,3,11
586,HighSparkDiesel(597),Pilsner Urquell,"September 10, 2016",3.3,5,4,6,3,15
592,Kobracai(214),Pilsner Urquell,"September 3, 2016",3.4,7,3,7,3,14
593,JuanFlk80(392),Pilsner Urquell,"September 1, 2016",3.1,5,3,6,3,14
595,Rhombic(366),Pilsner Urquell,"August 28, 2016",3.0,5,3,6,3,13
596,"Ferris(23,110)",Pilsner Urquell,"August 27, 2016",3.3,6,4,7,3,13
599,"Bitek(1,291)",Pilsner Urquell,"January 15, 2020",2.9,5,5,5,3,11
605,eunck(316),Pilsner Urquell,"August 8, 2016",2.9,5,3,6,3,12
607,"Grisza77(1,606)",Pilsner Urquell,"August 6, 2016",2.7,6,2,6,2,11
608,ffbot(596),Pilsner Urquell,"August 4, 2016",3.6,7,4,7,3,15
609,"Ktwse(6,833)",Pilsner Urquell,"August 4, 2016",3.1,7,3,6,2,13
611,"huineman(1,108)",Pilsner Urquell,"August 3, 2016",1.7,2,4,4,2,5
612,"trapped(6,204)",Pilsner Urquell,"August 2, 2016",3.5,7,4,7,3,14
615,climberbob(744),Pilsner Urquell,"August 1, 2016",2.8,5,3,5,3,12
616,WarMan04(502),Pilsner Urquell,"July 30, 2016",3.0,4,3,7,4,12
622,Tjomleif(312),Pilsner Urquell,"July 23, 2016",3.4,6,4,7,3,14
623,"nephirem(1,471)",Pilsner Urquell,"July 22, 2016",3.7,8,3,8,4,14
627,Evilman(264),Pilsner Urquell,"August 9, 2016",3.5,7,4,7,3,14
628,"Ritzn(3,714)",Pilsner Urquell,"January 4, 2020",3.6,7,4,7,4,14
630,lokis333(939),Pilsner Urquell,"July 17, 2016",3.7,8,4,8,4,13
631,"RobertDale(9,446)",Pilsner Urquell,"July 16, 2016",3.6,6,4,7,4,15
632,"lmojoh(3,128)",Pilsner Urquell,"September 16, 2016",3.2,6,4,6,4,12
636,"Thomas_W1(2,386)",Pilsner Urquell,"July 4, 2016",3.0,7,3,6,3,11
637,"lkowalkowski(1,318)",Pilsner Urquell,"June 28, 2016",3.5,4,5,7,4,15
649,"drmet(1,409)",Pilsner Urquell,"June 17, 2016",4.0,8,5,8,4,15
650,nazbion(302),Pilsner Urquell,"June 14, 2016",3.4,6,3,7,4,14
654,"Fules(1,860)",Pilsner Urquell,"June 12, 2016",3.3,7,4,7,4,11
655,"sjogro(9,252)",Pilsner Urquell,"February 10, 2017",3.4,6,3,6,3,16
657,"Hanoi(1,349)",Pilsner Urquell,"June 10, 2016",2.2,4,3,4,3,8
658,"Trolleo(5,972)",Pilsner Urquell,"June 10, 2016",3.0,5,2,6,2,15
660,AnG_BrgNor(819),Pilsner Urquell,"June 6, 2016",2.1,4,3,4,2,8
661,"Cybuch(2,192)",Pilsner Urquell,"June 1, 2016",3.2,6,4,6,4,12
662,s00sl(592),Pilsner Urquell,"May 27, 2016",3.2,5,4,7,5,11
663,"Grumbo(12,233)",Pilsner Urquell,"May 25, 2016",3.2,7,3,7,3,12
664,Jury(288),Pilsner Urquell,"May 23, 2016",3.5,6,4,6,4,15
665,"Carlisle(1,340)",Pilsner Urquell,"May 22, 2016",3.0,6,3,6,3,12
667,"Quick3Beers(2,348)",Pilsner Urquell,"May 14, 2016",0.9,2,1,2,1,3
670,"PlutonowyMan(1,673)",Pilsner Urquell,"May 7, 2016",3.3,5,4,5,4,15
672,MRMedellin(392),Pilsner Urquell,"May 3, 2016",2.9,5,3,6,4,11
674,"17wojownik(1,308)",Pilsner Urquell,"May 2, 2016",4.2,9,5,8,3,17
677,MatusBeer(892),Pilsner Urquell,"April 27, 2016",3.4,6,4,7,4,13
678,"MikeBeermaster(1,750)",Pilsner Urquell,"April 24, 2016",3.2,7,4,7,3,11
679,mclaren14(598),Pilsner Urquell,"September 1, 2016",2.3,3,4,6,3,7
680,"Kiezmar(2,550)",Pilsner Urquell,"April 20, 2016",3.1,5,4,5,3,14
684,Alex60(910),Pilsner Urquell,"April 14, 2016",3.5,7,4,6,4,14
686,"Sven1973(1,296)",Pilsner Urquell,"April 9, 2016",2.7,5,3,6,2,11
689,Svarun(218),Pilsner Urquell,"April 6, 2016",3.0,5,3,6,3,13
690,"Jow(5,693)",Pilsner Urquell,"April 3, 2016",3.5,6,3,7,3,16
692,lotsalaughs(177),Pilsner Urquell,"March 29, 2016",3.4,7,4,5,4,14
693,leduardol(150),Pilsner Urquell,"March 28, 2016",3.7,8,3,8,4,14
694,gorkogrlo(393),Pilsner Urquell,"March 27, 2016",2.4,4,3,5,3,9
695,"phfyysik(2,381)",Pilsner Urquell,"March 26, 2016",3.3,6,3,7,3,14
696,"Michcio(1,741)",Pilsner Urquell,"March 24, 2016",3.0,6,3,6,3,12
697,smmaaren(588),Pilsner Urquell,"March 23, 2016",3.6,7,3,8,3,15
698,"BeerRenter76(1,097)",Pilsner Urquell,"March 19, 2016",3.7,7,4,7,4,15
707,"Cerbier(1,036)",Pilsner Urquell,"February 28, 2016",3.9,7,4,8,4,16
709,"L_Lovecraft(1,133)",Pilsner Urquell,"February 23, 2016",3.3,6,3,7,3,14
710,"dchad56(1,101)",Pilsner Urquell,"February 21, 2016",2.6,4,4,5,3,10
711,kubmal(297),Pilsner Urquell,"February 18, 2016",3.7,6,5,8,4,14
712,"tarmok(1,493)",Pilsner Urquell,"January 9, 2018",3.2,6,4,6,4,12
720,"Werckmeister(6,133)",Pilsner Urquell,"July 9, 2020",2.7,6,3,5,3,10
721,"midovark(3,305)",Pilsner Urquell,"February 1, 2016",3.4,6,3,8,3,14
723,"Hoppy_Luke(2,475)",Pilsner Urquell,"January 29, 2016",1.5,4,2,4,2,3
725,"MrOrla(4,934)",Pilsner Urquell,"January 25, 2016",4.2,9,4,9,4,16
728,"floydian1(1,833)",Pilsner Urquell,"January 20, 2016",3.0,6,3,7,3,11
734,"evannell(2,989)",Pilsner Urquell,"January 12, 2016",3.9,8,4,8,5,14
736,"Nurmis(1,820)",Pilsner Urquell,"January 7, 2016",3.5,7,3,7,3,15
740,"commonmac(1,892)",Pilsner Urquell,"January 1, 2016",2.3,5,3,5,2,8
742,"popiela(1,363)",Pilsner Urquell,"December 30, 2015",3.0,5,4,6,3,12
744,hvn(496),Pilsner Urquell,"December 28, 2015",3.3,6,4,7,3,13
748,"DoctorHU(1,491)",Pilsner Urquell,"December 21, 2015",3.6,8,4,7,3,14
750,"labeerinthum(4,892)",Pilsner Urquell,"December 20, 2015",3.0,6,4,6,4,10
754,Demens(750),Pilsner Urquell,"July 10, 2016",3.7,7,4,7,4,15
755,"caribou43(2,201)",Pilsner Urquell,"December 11, 2015",3.6,8,4,7,3,14
756,"melush(9,720)",Pilsner Urquell,"December 10, 2015",2.9,5,3,5,3,13
757,ghostbeer(255),Pilsner Urquell,"December 7, 2015",2.1,2,3,5,3,8
758,"StevieT(2,007)",Pilsner Urquell,"December 6, 2015",3.4,6,3,7,3,15
761,"MBlessing(3,698)",Pilsner Urquell,"November 30, 2015",2.4,5,3,5,3,8
762,"DrNosha(5,865)",Pilsner Urquell,"November 29, 2015",2.6,4,4,5,3,10
763,"R4N5H(2,063)",Pilsner Urquell,"November 29, 2015",2.6,5,4,5,3,9
766,"corkyrory66(4,852)",Pilsner Urquell,"February 5, 2020",0.5,1,1,1,1,1
767,bjakk(928),Pilsner Urquell,"November 17, 2015",2.8,4,5,5,4,10
768,"thellgren(1,817)",Pilsner Urquell,"May 22, 2017",3.3,7,3,7,4,12
769,"ArtificialCyst(1,614)",Pilsner Urquell,"November 15, 2015",2.8,5,4,5,4,10
771,"biir(2,738)",Pilsner Urquell,"November 15, 2015",2.5,5,3,4,3,10
774,"hauxe(2,563)",Pilsner Urquell,"November 7, 2015",3.8,6,4,8,4,16
777,MrGrigg182(497),Pilsner Urquell,"October 31, 2015",2.4,5,2,5,2,10
778,AaronTDubs(499),Pilsner Urquell,"October 29, 2015",2.7,3,3,6,2,13
781,"angel77(5,902)",Pilsner Urquell,"October 26, 2015",3.3,6,3,7,3,14
783,glacier(331),Pilsner Urquell,"October 23, 2015",2.4,4,2,4,2,12
784,"ischas(1,574)",Pilsner Urquell,"October 21, 2015",3.5,7,4,7,3,14
785,DavidAust(288),Pilsner Urquell,"October 19, 2015",3.0,5,3,5,3,14
786,fid600(81),Pilsner Urquell,"October 18, 2015",3.3,7,4,7,4,11
787,"MarcinG(2,664)",Pilsner Urquell,"October 16, 2015",3.5,5,4,6,5,15
788,"Gurthnar(9,044)",Pilsner Urquell,"October 16, 2015",4.2,7,5,8,5,17
789,"Minderbinder(3,463)",Pilsner Urquell,"October 16, 2015",3.6,7,4,8,3,14
795,"LazyPyro(5,277)",Pilsner Urquell,"October 8, 2015",3.1,5,3,6,3,14
797,"szymonskc(1,647)",Pilsner Urquell,"September 28, 2015",3.4,6,3,8,3,14
798,"TorbenJensen(1,793)",Pilsner Urquell,"September 22, 2015",2.5,3,3,3,3,13
800,"elbernays(1,834)",Pilsner Urquell,"September 19, 2015",3.2,7,3,6,3,13
805,"beer_rookie(1,071)",Pilsner Urquell,"September 8, 2015",4.0,7,3,8,4,18
808,AlfredoGarcia(443),Pilsner Urquell,"September 3, 2015",3.3,7,3,7,3,13
810,"ozzy70(2,639)",Pilsner Urquell,"August 31, 2015",1.0,2,3,2,1,2
814,Nonshaugen(947),Pilsner Urquell,"September 1, 2015",0.5,1,1,1,1,1
815,"redders1974(2,624)",Pilsner Urquell,"July 20, 2019",3.5,6,4,7,4,14
817,pijepiwo(908),Pilsner Urquell,"August 20, 2015",3.1,5,4,5,3,14
820,"rouhlas(5,474)",Pilsner Urquell,"August 17, 2015",3.0,6,3,6,3,12
821,azzie(822),Pilsner Urquell,"August 15, 2015",1.7,3,2,3,3,6
822,Marek13(289),Pilsner Urquell,"August 13, 2015",3.4,6,4,7,4,13
823,"nybol(3,808)",Pilsner Urquell,"August 12, 2015",3.9,5,5,6,5,18
826,"hrabren(4,531)",Pilsner Urquell,"November 11, 2017",3.5,7,5,6,3,14
828,"Alusmamuts(3,332)",Pilsner Urquell,"August 8, 2015",3.6,7,4,8,4,13
833,"Senka(1,138)",Pilsner Urquell,"July 31, 2015",3.1,6,4,6,3,12
835,"cervmagpt(1,572)",Pilsner Urquell,"March 5, 2019",2.9,5,4,6,4,10
836,"bursprak(3,282)",Pilsner Urquell,"July 29, 2015",3.5,7,3,7,3,15
840,"Ysok02(3,203)",Pilsner Urquell,"July 20, 2015",3.6,7,4,7,4,14
841,"colui72(2,666)",Pilsner Urquell,"April 19, 2017",3.2,5,4,7,3,13
842,"mr_h(9,016)",Pilsner Urquell,"June 18, 2020",2.9,6,3,6,2,12
843,OnTheTrail(947),Pilsner Urquell,"July 19, 2015",3.9,7,4,7,5,16
844,"rotaman14(1,785)",Pilsner Urquell,"July 18, 2015",2.8,5,3,6,3,11
847,"funcut(1,208)",Pilsner Urquell,"July 14, 2015",3.3,7,4,7,4,11
848,"Turtles(3,710)",Pilsner Urquell,"July 14, 2015",3.9,7,5,8,4,15
849,"Cthulhu(1,059)",Pilsner Urquell,"July 12, 2015",3.9,6,4,7,5,17
855,"efeesse(1,189)",Pilsner Urquell,"July 10, 2015",3.7,7,5,8,5,12
857,"Cristobal37(2,153)",Pilsner Urquell,"June 10, 2019",4.2,7,5,8,5,17
858,"McWorta(1,632)",Pilsner Urquell,"July 5, 2015",3.4,6,4,6,4,14
860,Hiero(256),Pilsner Urquell,"July 5, 2015",3.2,7,3,7,3,12
861,"OldMrCrow(2,784)",Pilsner Urquell,"July 5, 2015",3.7,7,5,7,3,15
864,"Gangstergafje(2,467)",Pilsner Urquell,"November 22, 2020",3.1,7,3,6,3,12
865,Achel(487),Pilsner Urquell,"June 29, 2015",3.1,6,4,6,2,13
867,"visionthing(7,038)",Pilsner Urquell,"June 28, 2015",3.4,6,4,7,3,14
868,"Mister_Li(2,639)",Pilsner Urquell,"June 27, 2015",3.5,7,3,7,3,15
873,mauroruellas(903),Pilsner Urquell,"June 21, 2015",3.9,8,4,8,3,16
874,"angelkostvo(1,249)",Pilsner Urquell,"June 18, 2015",4.1,7,5,8,4,17
876,"jamaty(2,548)",Pilsner Urquell,"June 17, 2015",3.1,6,4,6,3,12
877,"PriorL(3,067)",Pilsner Urquell,"June 16, 2015",1.7,3,3,3,3,5
880,"markoijelena(4,208)",Pilsner Urquell,"June 14, 2015",3.4,7,3,7,3,14
884,einherjar(739),Pilsner Urquell,"June 12, 2015",3.8,7,4,8,4,15
888,"SinH4(12,826)",Pilsner Urquell,"June 10, 2015",3.7,7,4,7,4,15
890,"Whatup14(3,319)",Pilsner Urquell,"June 8, 2015",3.7,7,4,8,3,15
891,"MelvinKalksma(4,128)",Pilsner Urquell,"September 13, 2016",3.2,6,3,7,3,13
895,"tightslice(2,393)",Pilsner Urquell,"June 29, 2017",4.0,7,3,8,4,18
898,"kto(2,942)",Pilsner Urquell,"December 6, 2018",3.2,6,4,6,4,12
899,gustavofnd(238),Pilsner Urquell,"June 1, 2015",2.2,6,3,4,2,7
901,"creppyiceman(3,498)",Pilsner Urquell,"June 1, 2015",3.1,6,5,6,4,10
902,"ShivanDragon(6,884)",Pilsner Urquell,"May 29, 2015",3.3,6,3,6,3,15
903,"bpreo(3,602)",Pilsner Urquell,"May 25, 2015",3.1,6,2,9,4,10
909,"PiwnyMarek(1,360)",Pilsner Urquell,"May 17, 2015",3.3,7,3,7,2,14
914,"Rubin77(6,374)",Pilsner Urquell,"May 11, 2015",4.0,7,4,8,4,17
916,Padchenko(677),Pilsner Urquell,"May 10, 2015",2.8,5,3,6,4,10
918,"MonsterMagnet(1,952)",Pilsner Urquell,"May 9, 2015",2.6,4,3,5,3,11
920,"mikske79(1,960)",Pilsner Urquell,"May 8, 2015",1.1,2,3,1,1,4
921,"josanguapo(4,071)",Pilsner Urquell,"April 27, 2016",3.0,6,3,6,3,12
922,"YantarCoast(3,141)",Pilsner Urquell,"January 13, 2020",3.4,7,4,7,4,12
926,"tmrmwel(3,541)",Pilsner Urquell,"May 6, 2015",3.7,6,3,8,4,16
929,"lello4ever(2,112)",Pilsner Urquell,"April 30, 2015",3.4,6,3,7,4,14
933,"klm1(2,686)",Pilsner Urquell,"December 6, 2015",3.3,5,3,7,4,14
938,"mstrcrwly(1,000)",Pilsner Urquell,"April 17, 2015",3.0,6,3,6,3,12
940,"Karstenborg(1,711)",Pilsner Urquell,"April 16, 2015",3.1,6,3,7,3,12
941,"Jabah(2,368)",Pilsner Urquell,"April 15, 2015",3.0,6,3,6,3,12
943,EAGLE82(235),Pilsner Urquell,"April 13, 2015",4.7,9,5,9,5,19
945,cmc619(501),Pilsner Urquell,"April 11, 2015",5.0,10,5,10,5,20
946,"ianwelby(2,702)",Pilsner Urquell,"April 11, 2015",3.1,6,3,6,3,13
947,Salwal(486),Pilsner Urquell,"April 10, 2015",2.7,5,5,5,1,11
949,"superspak(9,600)",Pilsner Urquell,"April 6, 2015",3.8,7,4,8,4,15
953,"Towey1989(5,546)",Pilsner Urquell,"March 21, 2016",3.0,5,4,6,4,11
954,milo91hd(206),Pilsner Urquell,"March 29, 2015",3.8,7,4,8,4,15
956,"Florya(2,027)",Pilsner Urquell,"March 26, 2015",3.1,5,4,6,4,12
958,"rdixon77(3,705)",Pilsner Urquell,"March 22, 2015",3.2,6,3,6,4,13
959,nordic(653),Pilsner Urquell,"March 21, 2015",3.0,5,4,7,2,12
961,"nihtila(5,085)",Pilsner Urquell,"March 14, 2015",3.3,6,4,6,3,14
962,"Cokemonkey11(1,704)",Pilsner Urquell,"May 12, 2015",3.2,6,2,7,3,14
966,Fantomasus(291),Pilsner Urquell,"March 10, 2015",3.3,6,4,5,3,15
967,"DraftDodger(4,608)",Pilsner Urquell,"March 7, 2015",3.0,4,4,7,3,12
968,massingasetta(937),Pilsner Urquell,"March 7, 2015",3.5,7,4,7,4,13
971,"Milter(1,927)",Pilsner Urquell,"March 11, 2017",3.5,6,4,7,4,14
972,"willisread(6,519)",Pilsner Urquell,"May 5, 2015",3.5,7,4,6,4,14
973,"Stuu666(22,800)",Pilsner Urquell,"March 2, 2015",3.4,7,3,7,3,14
974,Hamirubi(634),Pilsner Urquell,"March 2, 2015",2.9,6,4,6,2,11
975,"mariuszek(1,940)",Pilsner Urquell,"March 1, 2015",3.7,6,4,8,4,15
978,swapp(602),Pilsner Urquell,"February 25, 2015",3.4,6,3,8,3,14
980,"peponi(2,401)",Pilsner Urquell,"February 21, 2015",2.5,5,3,5,4,8
981,"Jorn69(5,129)",Pilsner Urquell,"February 19, 2015",2.7,5,3,6,3,10
982,"wozap(1,736)",Pilsner Urquell,"February 17, 2015",3.4,6,5,5,4,14
984,tbonde(384),Pilsner Urquell,"February 15, 2015",2.8,5,4,5,4,10
988,"radio_nowhere(1,474)",Pilsner Urquell,"February 11, 2015",3.3,6,4,6,4,13
989,"UXO(1,896)",Pilsner Urquell,"February 11, 2015",3.0,6,3,6,3,12
992,"bubblehouse(1,916)",Pilsner Urquell,"February 9, 2015",3.1,6,3,6,3,13
994,Lebo88(221),Pilsner Urquell,"February 7, 2015",2.9,5,3,6,3,12
996,edsspoon(905),Pilsner Urquell,"February 4, 2015",3.2,6,3,7,3,13
997,"mmahut(1,857)",Pilsner Urquell,"February 3, 2015",3.4,7,5,7,3,12
1005,"GarageBrewer80(1,388)",Pilsner Urquell,"January 23, 2015",3.5,7,3,7,3,15
1006,"TedE(2,324)",Pilsner Urquell,"January 21, 2015",3.0,7,2,6,3,12
1009,"KW92(1,789)",Pilsner Urquell,"January 18, 2015",2.2,4,3,4,2,9
1015,"fombe89(7,463)",Pilsner Urquell,"January 27, 2015",3.3,6,5,6,3,13
1016,"callmemickey(4,561)",Pilsner Urquell,"January 10, 2015",3.4,7,3,7,3,14
1017,"Piw(2,007)",Pilsner Urquell,"January 8, 2015",3.7,8,4,7,3,15
1018,Vincent68(683),Pilsner Urquell,"June 4, 2015",4.0,7,5,7,4,17
1023,"Holmen1(10,355)",Pilsner Urquell,"January 4, 2015",3.3,5,3,7,4,14
1024,"Moravius(2,754)",Pilsner Urquell,"May 23, 2017",2.7,5,3,5,3,11
1025,"King_Alex_II(1,227)",Pilsner Urquell,"January 2, 2015",2.5,3,3,6,3,10
1028,Teran(430),Pilsner Urquell,"December 29, 2014",3.4,6,4,6,3,15
1030,"androman(2,998)",Pilsner Urquell,"December 25, 2014",2.5,4,2,5,3,11
1031,Jagienka(477),Pilsner Urquell,"December 22, 2014",2.7,3,3,6,3,12
1033,"Hrc_Cro(1,012)",Pilsner Urquell,"December 20, 2014",3.4,8,4,6,3,13
1034,"FireGlider(1,239)",Pilsner Urquell,"December 20, 2014",2.7,5,4,5,2,11
1036,bewyder(601),Pilsner Urquell,"December 19, 2014",3.0,6,3,6,3,12
1037,"gegwilson(4,862)",Pilsner Urquell,"December 16, 2014",3.2,6,3,6,4,13
1038,YigSvartka(304),Pilsner Urquell,"December 16, 2014",3.3,5,4,7,4,13
1040,"KoNrRiI(2,146)",Pilsner Urquell,"December 13, 2014",3.2,5,3,7,4,13
1043,"metalspice(2,070)",Pilsner Urquell,"December 6, 2014",2.6,5,3,5,3,10
1046,Gbgbrouge(379),Pilsner Urquell,"December 3, 2014",2.8,5,3,5,3,12
1047,Boxereddy(618),Pilsner Urquell,"November 30, 2014",2.3,3,2,4,2,12
1048,"Obfuscate(1,152)",Pilsner Urquell,"November 30, 2014",3.9,7,4,8,4,16
1050,"GreatDane1632(1,177)",Pilsner Urquell,"November 24, 2014",3.6,6,5,7,4,14
1055,"rayaron(4,684)",Pilsner Urquell,"November 20, 2014",2.2,4,3,4,3,8
1058,"ramboraffe(3,462)",Pilsner Urquell,"November 11, 2014",3.6,7,5,6,4,14
1059,Diabobale(780),Pilsner Urquell,"November 10, 2014",3.2,6,4,7,4,11
1062,exeter(546),Pilsner Urquell,"November 7, 2014",3.0,5,3,6,3,13
1064,renffisch(891),Pilsner Urquell,"November 4, 2014",3.4,7,3,7,4,13
1066,"Rotin(3,981)",Pilsner Urquell,"October 30, 2014",2.5,3,3,6,3,10
1070,"slowrunner77(18,296)",Pilsner Urquell,"October 18, 2014",2.5,5,2,5,3,10
1071,bluemooner(657),Pilsner Urquell,"October 18, 2014",3.2,6,3,6,3,14
1072,"Niller(1,706)",Pilsner Urquell,"October 15, 2014",2.3,3,3,5,3,9
1073,waiake(606),Pilsner Urquell,"September 17, 2015",3.4,5,4,7,4,14
1074,"eduardovl(1,818)",Pilsner Urquell,"April 10, 2015",3.7,8,3,8,3,15
1079,miggle(583),Pilsner Urquell,"October 5, 2014",2.7,5,3,5,3,11
1084,"erling1000(1,370)",Pilsner Urquell,"September 28, 2014",3.2,5,5,5,5,12
1086,RhetoricalAns(939),Pilsner Urquell,"September 24, 2014",3.1,7,3,7,3,11
1087,"remALUS(1,113)",Pilsner Urquell,"September 19, 2014",2.8,5,4,5,4,10
1088,panzerwolf(353),Pilsner Urquell,"September 16, 2014",2.7,4,3,6,3,11
1089,"adamnowek(5,963)",Pilsner Urquell,"September 16, 2014",3.1,6,4,6,3,12
1091,"geologyguy(2,233)",Pilsner Urquell,"September 13, 2014",2.0,4,2,4,2,8
1093,tinylightsrecs(436),Pilsner Urquell,"September 12, 2014",3.2,5,3,7,4,13
1099,g_georgiou(648),Pilsner Urquell,"August 31, 2014",3.4,6,3,6,4,15
1100,"Alengrin(8,905)",Pilsner Urquell,"July 22, 2016",3.0,6,3,7,3,11
1109,"adasko(2,233)",Pilsner Urquell,"August 10, 2014",2.2,3,3,4,3,9
1112,joejames(510),Pilsner Urquell,"August 2, 2014",3.9,8,4,8,4,15
1113,"mjik83(2,877)",Pilsner Urquell,"August 1, 2014",3.3,5,3,6,4,15
1115,pomko(209),Pilsner Urquell,"July 30, 2014",3.1,6,3,6,3,13
1120,"MrTipple(13,257)",Pilsner Urquell,"July 27, 2014",3.0,5,3,5,3,14
1126,Bork(461),Pilsner Urquell,"September 20, 2014",4.5,8,4,10,5,18
1128,Schnabelhund(147),Pilsner Urquell,"August 1, 2017",3.5,7,3,7,4,14
1130,"DwarfeD(3,500)",Pilsner Urquell,"July 17, 2014",3.1,6,3,6,3,13
1132,"ERB92(1,547)",Pilsner Urquell,"July 10, 2014",3.2,6,3,7,3,13
1134,Wischylini(424),Pilsner Urquell,"April 23, 2017",0.5,1,1,1,1,1
1137,"hman43(3,302)",Pilsner Urquell,"July 2, 2014",3.0,5,3,6,4,12
1138,"beertholomeus(1,814)",Pilsner Urquell,"July 1, 2014",3.4,6,4,7,3,14
1139,"VDuquerroux(3,822)",Pilsner Urquell,"June 30, 2014",3.3,7,3,7,3,13
1140,"minutemat(10,749)",Pilsner Urquell,"June 30, 2014",3.6,7,4,7,3,15
1142,"GuideDogSaint(2,549)",Pilsner Urquell,"June 29, 2014",3.3,6,3,7,4,13
1144,"jflopsu(1,862)",Pilsner Urquell,"June 28, 2014",2.7,4,1,7,2,13
1145,"adster(1,138)",Pilsner Urquell,"June 27, 2014",3.8,7,4,7,4,16
1148,"yy0pp(1,664)",Pilsner Urquell,"June 26, 2014",3.3,5,3,7,3,15
1151,"Bulk_Carrier(6,064)",Pilsner Urquell,"June 22, 2014",2.5,5,4,4,3,9
1152,"Darkmagus82(2,303)",Pilsner Urquell,"June 21, 2014",3.2,5,3,7,4,13
1156,alex_alkis(419),Pilsner Urquell,"June 16, 2014",3.5,7,3,8,3,14
1158,"Sissio(2,126)",Pilsner Urquell,"June 14, 2014",3.9,7,4,8,4,16
1160,loco_gallego(217),Pilsner Urquell,"June 9, 2014",3.5,6,4,7,4,14
1163,"solidfunk(14,403)",Pilsner Urquell,"June 5, 2014",3.1,6,3,7,3,12
